CUSTOMER.cid  CART.cid  CUSTOMER.firstname  CUSTOMER.sex  CART.cartid  CART.status  
56	56	ljbenyiygd	0	115	atsmnojs	
57	57	ucorlxhiyo	0	66	mmfeemxk	
57	57	ucorlxhiyo	0	141	jnklzxhl	
5	5	rmvqpaabdg	1	109	qvezeykx	
5	5	rmvqpaabdg	1	60	gqzkvxho	
59	59	unmfcdcorg	1	39	flgkfgcu	
112	112	ovesahovlq	0	27	iqxcpcvi	
113	113	usdrymibfd	0	180	ssepcosu	
166	166	hyamnzzxjp	1	11	mlotuklu	
115	115	xofmtwotpz	1	75	vwjmavon	
115	115	xofmtwotpz	1	40	jcbilatz	
9	9	jeycxnsuej	1	57	ouoqmifn	
63	63	sxpzsysecj	0	28	xbjdazfl	
16	16	ogiizfqbsf	0	25	ndbrdexe	
16	16	ogiizfqbsf	0	138	tadncurz	
76	76	mzwczzjptx	0	184	ahvulivp	
129	129	mbdpvmsenn	1	125	qmesjwfn	
79	79	diuyvvaupo	0	85	sqiphkkf	
26	26	uswctdwkll	1	50	skactywe	
188	188	qvwapjdizo	0	95	urkxjcof	
189	189	qgduwmlkng	0	182	lgqbnmfl	
136	136	kecdhupcaw	0	58	kcdisuws	
136	136	kecdhupcaw	0	14	xgtacpeg	
31	31	uuvdwmsome	0	1	pyomqgyn	
137	137	egfkngsqed	1	82	zgzdahuk	
33	33	mknrhrbyhy	0	120	aejmordq	
141	141	tzitkicncy	1	61	gxzizpyq	
143	143	ywhwjsqhuk	0	22	mvkxcqsi	
143	143	ywhwjsqhuk	0	23	vztqgeai	
196	196	fvheiaexpr	0	15	gzfnaewz	
197	197	lvohwskadt	1	41	pstthevd	
197	197	lvohwskadt	1	177	tnuhmpjy	
39	39	daivojbnod	1	116	wedxbzbr	
198	198	zxecciipny	1	166	qmrdfqvw	
40	40	folozkezxk	1	92	yqidusrb	
93	93	zqiurklhgp	0	119	gjgbkumh	
93	93	zqiurklhgp	0	129	rzxyjiey	
150	150	gebjtcpoha	1	10	afnvdaxx	
