18950	3336	
52941	114402	
158491	166960	
145000	118830	
56329	191063	
19808	87829	
41875	63944	
155579	23890	
29160	28076	
173548	16991	
101173	42740	
73148	30381	
51988	42911	
6854	97853	
189730	114856	
16732	59102	
153262	177872	
7752	40003	
145292	13571	
6445	130496	
33034	134697	
141195	110049	
37498	38284	
163105	82407	
34414	149153	
77804	142048	
152130	163829	
12878	177506	
1939	176693	
44106	109795	
39438	174554	
60972	160696	
127971	8303	
67910	48105	
77975	155456	
21460	110253	
80121	198817	
192577	166983	
15788	86168	
155394	85308	
177955	64360	
169505	76015	
136044	39355	
195988	58843	
54691	199211	
17291	112493	
148103	147309	
29705	13116	
52713	145818	
109802	9382	
194816	64731	
164355	140168	
119642	122353	
155686	23577	
100717	199327	
35972	155811	
151564	192116	
94125	176096	
24117	63928	
133748	140781	
87687	123763	
100910	62189	
103824	23253	
72921	138749	
79685	155781	
142104	101007	
154827	53641	
72860	38629	
96625	10894	
136415	175596	
43521	4117	
48010	104051	
126636	82106	
33463	41350	
138082	69986	
23824	182891	
86147	35201	
145750	159608	
88943	123334	
176574	41295	
71225	24291	
34358	78776	
28027	34620	
176261	119577	
83715	5163	
118416	19220	
87083	93870	
72632	89341	
59143	198958	
16545	181943	
66743	80364	
35022	9514	
923	102474	
3304	54370	
37478	54644	
97182	70919	
144908	149097	
92837	40885	
86293	140778	
88544	168184	
145939	127485	
61084	63781	
182704	162462	
162290	178071	
143009	97667	
195920	65413	
133879	39371	
58769	48573	
190228	3586	
69255	14399	
183162	68691	
27547	48376	
136063	193163	
141900	83034	
38493	177542	
120979	189268	
9318	66296	
87527	35123	
123092	99162	
163612	661	
186430	114350	
34919	110725	
3367	45937	
22012	136056	
34225	130589	
136920	104035	
125423	66328	
44891	33975	
137816	171644	
165197	190458	
102678	32836	
110657	124995	
107838	189583	
122582	25874	
60443	117396	
55194	136842	
49187	179555	
191114	88267	
170251	99860	
81333	87728	
68086	123342	
135167	116450	
187849	194933	
159296	124695	
9498	168817	
154252	57771	
155270	85720	
70350	61657	
103457	165559	
86221	114326	
173448	124674	
62289	171082	
155731	146901	
194398	20459	
3495	52006	
80351	103800	
36968	99658	
161822	176400	
178251	88480	
159024	6829	
93385	139358	
116910	113024	
149999	57206	
117853	154793	
97042	124836	
49583	84946	
137633	97495	
199011	105258	
54803	76985	
57735	88313	
125631	63837	
171998	89893	
185802	116100	
85212	17408	
37434	165260	
158029	158795	
1705	19446	
107606	84044	
181142	157650	
95828	10695	
14230	15369	
33825	115612	
75432	130119	
140277	190525	
83749	138499	
46056	85769	
78678	172780	
16661	43658	
56544	5042	
22939	143752	
176986	41453	
38461	74888	
62911	9646	
188585	103588	
114623	112801	
118294	102600	
165872	33499	
171590	64582	
95138	902	
37611	73047	
64911	130022	
61478	134703	
57777	152455	
18154	110523	
110	46149	
188799	66874	
3887	162104	
162659	186357	
169038	65722	
41867	73117	
48941	151830	
76807	126911	
99748	160334	
9411	62566	
174994	118153	
130089	151373	
74005	153623	
88548	143935	
32980	107683	
99072	68621	
166841	112244	
151533	146731	
17788	133471	
114723	7208	
165979	26637	
46751	132681	
162214	70245	
7883	161409	
59574	61653	
89083	115214	
170749	179778	
150099	18738	
105977	72650	
121223	179853	
138755	818	
161147	152020	
40580	49585	
10761	85552	
178758	160216	
93344	126389	
48616	103324	
44553	171197	
167020	145986	
114437	61601	
102571	42213	
171859	14483	
117416	12455	
105998	149723	
96513	74162	
47986	148332	
149761	29226	
107007	66658	
36819	81585	
68406	146651	
113106	176406	
134208	104559	
44155	186395	
146862	28365	
155140	6497	
37787	77299	
75270	61682	
192558	60425	
